Parameter,Type,DOF,MaxEnergy,MinEnergy,Range,RelChange,Slope,ImpactScore
m_0,m,2,240377.0254590281,174819.63369534872,65557.39176367939,0.3297490574091983,-5138887.097653449,1694543.1765835155
m_0,m,6,3960.331496697986,1975.8886834948596,1984.4428132031264,0.7425943927701848,-153706.10895258226,114141.2946427107
m_0,m,7,25892.05370743851,21282.983000038636,4609.070707399875,0.19162164058301046,370073.82437467604,70914.1533635043
m_0,m,5,3673.0198004298945,2368.8812202342433,1304.1385801956512,0.459539474213216,-101712.90984456059,46741.097110665614
m_0,m,3,2496.7794451296236,1762.2137639565412,734.5656811730823,0.36191400168887927,-57495.59768698218,20808.461838389594
m_0,m,4,998.8112759071192,650.8991222113974,347.9121536957218,0.4482318774186119,-27144.50487441196,12167.032381456334
m_0,m,0,13724.757248562113,12485.487518383245,1239.2697301788685,0.09510275969161275,-102807.8419695969,9777.309489247875
m_0,m,1,2208.7994444734327,1855.313307599327,353.4861368741058,0.1772299004190677,-28323.09035193533,5019.698482633756
m_0,m,8,6.952043421018685,3.31257948066326,3.6394639403554256,0.6759498852668249,297.3646441821573,201.0035971173394
m_1,m,0,13283.137325897142,12657.823485061885,625.313840835257,0.04822150396346572,-1582988.4504415079,76334.08383708564
m_1,m,2,192622.69330274465,192182.69054986406,440.0027528805949,0.002286886924274579,-1113952.4721212164,2547.483342757352
m_1,m,7,24476.834195813793,24337.324816253447,139.50937956034613,0.0057158405039076255,353179.9261078023,2018.7201268140786
m_1,m,6,2470.912728854333,2450.2476840663703,20.66504478796287,0.008398604878442142,-52316.020953794796,439.3815888032223
m_1,m,5,2711.2548637513,2699.9627942287607,11.29206952253935,0.004173604887701864,-28587.558109617465,119.31317225376051
m_1,m,3,1959.767512206578,1954.3821965856928,5.385315620885194,0.0027517231689681947,-13633.883045208418,37.51667185850265
m_1,m,4,742.4687876713343,739.4987630089836,2.9700246623507383,0.0040082420878468,-7519.067288333248,30.13824196644943
m_1,m,8,5.622889629855517,5.544308060306857,0.07858156954865958,0.014073255560590501,198.93896817426443,2.7997189400766036
m_1,m,1,1966.046055197349,1965.611214593042,0.4348406043070554,0.00022119846844917168,-1101.320882076348,0.243610492386379
m_2,m,0,13573.994300900711,12393.828161710324,1180.1661391903872,0.0909674505519387,-1489833.1323726652,135526.32179975035
m_2,m,1,2058.0391918429814,1879.3239512976104,178.715240545371,0.09085181768277337,-225608.93466515993,20496.981799803838
m_2,m,7,24543.625686196097,24266.236033993657,277.38965220244063,0.011365379487576087,350209.2106159823,3980.260578695099
m_2,m,2,192704.04469743196,192096.79680795886,607.247889473103,0.0031561496610588977,-766841.5974084649,2420.26684774659
m_2,m,6,2478.264896970732,2443.209339156271,35.055557814460826,0.014246735830089851,-44261.14192367084,630.5767965246533
m_2,m,5,2714.539288753807,2696.7366815936343,17.802607160172556,0.00657990034863778,-22478.89213874976,147.9088702207506
m_2,m,3,1960.9763415016118,1953.1487245449161,7.827616956695692,0.003999671821734833,-9884.38715278413,39.53430477010848
m_2,m,4,743.3168919515708,738.6636538118427,4.65323813972816,0.006279824019839046,-5875.55298636179,36.89743877359181
m_2,m,8,5.6569287958474765,5.508806106656428,0.14812268919104898,0.02652899187988341,187.01766901317802,4.961390222645323
m_3,m,2,202770.10843521685,183094.72791422656,19675.380520990293,0.10213640103732008,-19287185.229851965,1969923.6855172368
m_3,m,7,27925.493110149127,21522.86758303047,6402.6255271186565,0.2608179217049509,-6265557.991867569,1634169.8137607449
m_3,m,6,3592.47126447384,1720.2066289075613,1872.264635566279,0.7350494013482689,-1821899.429841016,1339186.0852213912
m_3,m,5,3680.4055371628506,2032.0340824452226,1648.371454717628,0.5945924431853412,-1606593.6993063826,955268.4728767574
m_3,m,3,2597.507017625744,1504.6148078038946,1092.8922098218495,0.5468022413001953,-1065876.0236092855,582823.3986576971
m_3,m,4,1005.0917324281838,558.0370117618048,447.054720666379,0.5890465701566473,-435755.4018579952,256680.2248916836
m_3,m,0,13714.400579381889,12299.559727133965,1414.840852247924,0.10896994127432084,-1386667.2989475543,151105.0541333361
m_3,m,1,2077.0168327197075,1866.7687901869988,210.24804253270872,0.10680419039094519,-206073.18131326855,22009.4792914501
m_3,m,8,5.630917366305557,5.51000267463822,0.1209146916673367,0.021677394026936195,118.20576104969045,2.562392858528007
m_4,m,2,208676.55944316956,178744.9626992641,29931.59674390545,0.15509829451299856,-21060267.1455093,3266411.5162566286
m_4,m,7,29654.28215203738,20472.660302115415,9181.621849921965,0.3717499509185274,-6440408.014402421,2394221.363249391
m_4,m,6,4264.065955466722,1483.2480330508306,2780.817922415891,1.0524224170525953,-1928343.7625962554,2029432.2035398472
m_4,m,5,4235.46754654037,1808.4735297388395,2426.99401680153,0.853060452868768,-1688427.6656481235,1440330.869093945
m_4,m,4,1155.1857184024918,497.22274295025187,657.96297545224,0.84511568411181,-457802.9359277762,386896.44138499774
m_4,m,0,14139.952744267855,11992.809847175566,2147.14289709229,0.1650355319874057,-1510213.9285683995,249238.9591160757
m_4,m,1,2140.21558015355,1820.9121885784182,319.30339157513185,0.1618861982528641,-224610.01598592184,36361.26157747592
m_4,m,3,1958.960091173998,1937.1199827935202,21.840108380477886,0.011191616008101231,-11120.037437426596,124.45118899538848
m_4,m,8,5.657665647854949,5.456189642572794,0.2014760052821547,0.036159221217119564,141.23274272069446,5.106865987138124
m_5,m,2,193652.36740247486,191170.86100215654,2481.5064003183215,0.012897209265197138,-22156131.474056613,285752.2641281289
m_5,m,7,24767.933381393734,24055.84005343323,712.0933279605051,0.029172630876949168,-6357816.551178911,185474.23543090036
m_5,m,6,2566.612910253222,2359.420500214363,207.19241003885872,0.0841692701775917,-1849746.6711523868,155691.8273243261
m_5,m,5,2799.144293608534,2615.893776859356,183.25051674917813,0.06770905455026485,-1636036.4632792652,110774.48213839815
m_5,m,0,13054.566507199845,12877.19375377601,177.3727534238351,0.013680377899767941,-1583669.2906691227,21665.194364611038
m_5,m,4,752.8882201750716,728.7805717254513,24.107648449620342,0.03253776008862092,215244.07742620693,7003.560151790468
m_5,m,1,1979.1540431602423,1952.7478386109362,26.40620454930604,0.013432164429554163,-235767.45853426354,3166.867270170321
m_5,m,3,1958.2268382491075,1955.7587167918216,2.4681214572858607,0.0012611542321662769,-22042.32968281013,27.798777366280344
m_5,m,8,5.593178380457984,5.574216626463417,0.018961753994567232,0.003395853707573293,169.29727105822099,0.5749087656051004
m_6,m,2,210557.91419375484,177550.69070277808,33007.22349097676,0.1709015551932763,-27005908.279246632,4615351.724330226
m_6,m,7,28807.155997707472,20978.45118950434,7828.704808203132,0.31794426043251833,-6397678.41483306,2034105.1320891834
m_6,m,6,4054.262723923789,1546.6056608142987,2507.65706310949,0.9606656584674953,-2029346.8542111337,1949523.831959679
m_6,m,5,3197.6074913405732,2064.077024471061,1133.530466869512,0.42418166433648585,927872.0558521694,393586.31294269
m_6,m,0,14262.239764514477,11915.192065446356,2347.047699068122,0.1802646406779679,-1919806.8812121418,346073.29761279695
m_6,m,4,857.1718207188557,585.9116973973274,271.2601233215282,0.37040920883447104,221892.9061623901,82191.17581759245
m_6,m,1,2158.973582698148,1809.006179056881,349.9674036412673,0.1772972915542589,-286284.96136969863,50757.54826356321
m_6,m,3,1980.341158504151,1918.3335177784702,62.00764072568086,0.03173919984674078,-51546.27780002553,1636.0376124506276
m_6,m,8,5.741874111825529,5.372856902923818,0.3690172089017114,0.06622588777005228,301.9246153782216,19.995225693054305
m_7,m,2,222757.7071419296,167536.0289017273,55221.67824020231,0.2851929131895822,-40914342.06128579,11668480.403693147
m_7,m,6,5589.045374178842,163.6383028272568,5425.407071351586,2.0564873272211703,4118014.7568488405,8468645.16076941
m_7,m,0,15110.559511572916,11229.58762819952,3880.971883373395,0.2972398762677955,-2874467.43134221,854406.3436279666
m_7,m,7,26571.6502214458,21978.62780503188,4593.022416413922,0.18862361610301606,-3429544.5277046156,646893.090401955
m_7,m,5,3226.329443388185,1948.2313778989458,1278.0980654892394,0.48182752534632556,946265.118870039,455936.5805466975
m_7,m,1,2286.337400993587,1705.5672258971908,580.7701750963961,0.2934222836831942,-430197.2378217115,126229.45595584878
m_7,m,4,860.215516917929,560.0299271270637,300.18558979086527,0.412806305731166,221967.2149719722,91629.4660060154
m_7,m,3,2048.3760156282165,1841.7579187192398,206.61809690897667,0.10585975308875478,-154743.42207633916,16381.10045311023
