Parameter,Type,DOF,MaxEnergy,MinEnergy,Range,RelChange,Slope,ImpactScore
m_0,m,0,114677.97278611951,96186.70016263475,18491.272623484765,0.17612042117998994,-7628845.521678028,1343595.4863950142
m_0,m,2,4538.629407680823,2752.1335131800292,1786.4958945007934,0.5006871666194888,-734880.4058954861,367945.1882319908
m_0,m,1,2476.496427617735,1533.1117622545953,943.3846653631399,0.4801750593685353,-388106.81936580903,186359.21503031073
m_0,m,7,114917.12403289608,113633.23754177643,1283.8864911196579,0.011238335005570308,-529469.1831062417,5950.352054873592
m_0,m,3,65364.40515046269,64796.215404648545,568.1897458141466,0.008728482181630512,234292.62128767697,2045.018970196994
m_0,m,4,93920.00292185073,93271.30890411501,648.6940177357174,0.006929457205196967,267472.2351656586,1853.4374071588104
m_0,m,8,333.8528389301855,308.04618924843226,25.806649681753242,0.08029719618113425,10655.418774137941,855.6002516990952
m_0,m,5,7550.964514503363,7507.917297729133,43.04721677423004,0.0057162483092874335,17748.505101403895,101.4548622782794
m_0,m,6,88381.57439710226,88275.42680566174,106.14759144051641,0.001201681910938691,43722.86106333083,52.540971234290275
m_0,m,9,0.001443760146761488,0.0012199906004915016,0.00022376954626998646,0.16769578673466012,0.09244607659734239,0.015502817545523982
m_1,m,1,2117.2300726205167,1746.7267749764305,370.50329764408616,0.19173106585636365,4689902.368645745,899199.9799027332
m_1,m,0,105104.87978034865,104180.14727228283,924.7325080658193,0.00883713076458532,-11705453.888601586,103442.62667239596
m_1,m,2,3521.9174086525195,3491.4524781411405,30.464930511378952,0.008687734468433737,-385631.42631689354,3350.263434524541
m_1,m,4,93659.29857862364,93597.67312240676,61.625456216876046,0.0006581909725448663,780067.873068473,513.4336320259436
m_1,m,3,65131.04034656439,65086.04197220652,44.99837435787049,0.0006911282208946698,569598.83056868,393.66582639461626
m_1,m,6,88360.0886749297,88311.20834979918,48.88032513052167,0.0005533474097284205,618737.2368659629,342.3766473223007
m_1,m,7,114233.54324462601,114196.34232992874,37.20091469727049,0.0003257095861428616,470896.50370424043,153.37550533762865
m_1,m,5,7534.049485281628,7529.259476754024,4.790008527604186,0.0006359832492738536,60632.92460735054,38.561524404759396
m_1,m,8,322.06288450361205,321.4169362541185,0.6459482494935287,0.0020076702225470125,8176.555525854012,16.415827052259328
m_1,m,9,0.0013387973459454403,0.0013339581695687261,4.839176376714204e-06,0.0036211099366349644,0.0612553862980377,0.00022181248799623757
m_2,m,2,3827.446764596993,3180.668262659635,646.7785019373582,0.18450433303108427,4083158.270619883,753360.393381077
m_2,m,0,105521.34870257325,103771.01552228241,1750.333180290836,0.016726655601888126,-11050014.74756852,184829.7910783634
m_2,m,1,1948.0735456287018,1917.6081029793331,30.465442649368697,0.015762379113983226,-192331.31949650717,3031.5991733965793
m_2,m,4,93693.40904520704,93563.03651538638,130.37252982065547,0.0013924461516363323,823054.4707090599,1146.0590303259087
m_2,m,3,65155.62924457478,65061.078347282324,94.5508972924581,0.0014522052838413634,596909.1067738394,866.8345588299982
m_2,m,6,88388.5194363927,88282.32018496767,106.19925142503052,0.0012022249883392722,670445.8382319114,806.0267400504732
m_2,m,7,114259.7737797362,114169.63380266371,90.13997707249655,0.0007892139795598961,569060.9779006062,449.11087898118353
m_2,m,5,7536.725643488913,7526.54169451456,10.18394897435337,0.00135215394213016,64292.254337450715,86.93302515081886
m_2,m,8,322.3563045965327,321.1205545718876,1.2357500246450854,0.00384083957788921,7801.436123875712,29.964064628956425
m_2,m,9,0.0013408927885941461,0.001331848019209568,9.044769384578119e-06,0.006768131980616488,0.05710077878641816,0.0003864656070224643
m_3,m,3,69265.20513381413,60614.06222816014,8651.142905653993,0.13302591862565988,42398593.034355626,5640111.786830661
