Slip,Force
-0.2,-4000.0
-0.19183673469387758,-3939.0050064173943
-0.1836734693877551,-3865.2262237673076
-0.17551020408163265,-3779.207643073889
-0.1673469387755102,-3681.493255361286
-0.15918367346938778,-3572.6270516536483
-0.1510204081632653,-3453.153022975121
-0.14285714285714285,-3323.615160349854
-0.1346938775510204,-3184.5574548019963
-0.12653061224489798,-3036.523897355694
-0.11836734693877551,-2880.0584790350968
-0.11020408163265306,-2715.7051908643516
-0.10204081632653061,-2544.0080238676064
-0.09387755102040816,-2365.5109690690106
-0.08571428571428572,-2180.7580174927116
-0.07755102040816327,-1990.2931601628572
-0.06938775510204082,-1794.6603881035967
-0.06122448979591838,-1594.403692339077
-0.053061224489795916,-1390.0670638934462
-0.04489795918367345,-1182.1944937908524
-0.03673469387755102,-971.3299730554452
-0.02857142857142858,-758.0174927113709
-0.020408163265306117,-542.8010437827776
-0.012244897959183654,-326.2246172938144
-0.004081632653061218,-108.83220426862977
0.004081632653061218,108.83220426862911
0.012244897959183682,326.2246172938147
0.020408163265306145,542.8010437827776
0.02857142857142858,758.0174927113703
0.03673469387755102,971.3299730554446
0.04489795918367348,1182.1944937908522
0.053061224489795944,1390.0670638934466
0.06122448979591838,1594.4036923390765
0.06938775510204082,1794.6603881035962
0.07755102040816325,1990.293160162857
0.08571428571428574,2180.758017492712
0.09387755102040818,2365.51096906901
0.10204081632653061,2544.0080238676064
0.1102040816326531,2715.7051908643516
0.11836734693877554,2880.058479035097
0.12653061224489798,3036.523897355694
0.1346938775510204,3184.5574548019968
0.14285714285714285,3323.615160349854
0.15102040816326534,3453.1530229751215
0.15918367346938778,3572.6270516536483
0.1673469387755102,3681.493255361286
0.1755102040816327,3779.2076430738907
0.18367346938775514,3865.226223767308
0.19183673469387758,3939.0050064173943
0.2,4000.0
